N bic bdeu fnml qnml
10 9 10 12 11
10 9 10 12 11
10 9 10 12 11
10 9 10 12 11
10 9 10 12 12
10 9 10 12 12
10 9 10 12 9
10 9 10 13 10
10 9 10 13 10
10 9 10 13 11
10 9 10 13 11
10 9 10 13 11
10 9 10 13 11
10 9 10 13 11
10 9 10 13 11
10 9 10 14 12
10 9 10 16 12
10 9 10 8 8
10 9 10 8 9
10 9 10 8 9
10 9 10 8 9
10 9 10 9 11
10 9 10 9 11
10 9 10 9 11
10 9 10 9 9
10 9 10 9 9
10 9 10 9 9
10 9 10 9 9
10 9 11 10 11
10 9 11 10 9
10 9 11 10 9
10 9 11 10 9
10 9 11 11 10
10 9 11 11 10
10 9 11 11 10
10 9 11 11 10
10 9 11 11 10
10 9 11 11 10
10 9 11 11 11
10 9 11 11 11
10 9 11 11 11
10 9 11 11 9
10 9 11 11 9
10 9 11 12 11
10 9 11 12 11
10 9 11 12 9
10 9 11 13 11
10 9 11 13 11
10 9 11 13 11
10 9 11 13 11
10 9 11 13 11
10 9 11 14 10
10 9 11 9 10
10 9 11 9 9
10 9 11 9 9
10 9 12 10 10
10 9 12 10 9
10 9 12 11 10
10 9 12 11 10
10 9 12 11 10
10 9 12 11 10
10 9 12 11 10
10 9 12 11 10
10 9 12 11 10
10 9 12 11 10
10 9 12 11 11
10 9 12 11 11
10 9 12 11 11
10 9 12 11 11
10 9 12 11 11
10 9 12 11 9
10 9 12 12 10
10 9 12 12 10
10 9 12 12 10
10 9 12 12 10
10 9 12 12 11
10 9 12 13 11
10 9 12 13 11
10 9 12 13 11
10 9 12 13 11
10 9 12 13 11
10 9 12 13 11
10 9 12 13 11
10 9 12 13 11
10 9 12 13 11
10 9 12 14 10
10 9 12 14 11
10 9 12 14 13
10 9 12 18 9
10 9 12 18 9
10 9 12 19 10
10 9 12 19 10
10 9 12 19 10
10 9 12 19 10
10 9 12 21 9
10 9 12 9 9
10 9 12 9 9
10 9 12 9 9
10 9 12 9 9
10 9 12 9 9
10 9 13 10 10
10 9 13 10 10
10 9 13 10 12
10 9 13 10 9
10 9 13 10 9
10 9 13 10 9
10 9 13 11 10
10 9 13 11 10
10 9 13 11 10
10 9 13 11 10
10 9 13 11 11
10 9 13 11 12
10 9 13 12 10
10 9 13 12 10
10 9 13 12 8
10 9 13 13 8
10 9 13 14 10
10 9 13 17 8
10 9 13 17 8
10 9 13 17 8
10 9 13 17 8
10 9 13 17 8
10 9 13 18 8
10 9 13 18 8
10 9 13 18 9
10 9 13 18 9
10 9 13 19 10
10 9 13 20 8
10 9 13 8 8
10 9 14 10 9
10 9 14 10 9
10 9 14 10 9
10 9 14 11 10
10 9 14 11 9
10 9 14 11 9
10 9 14 12 10
10 9 14 12 11
10 9 14 13 10
10 9 14 13 11
10 9 14 15 11
10 9 14 16 10
10 9 14 16 10
10 9 14 18 8
10 9 14 18 9
10 9 14 18 9
10 9 14 18 9
10 9 14 18 9
10 9 14 18 9
10 9 14 18 9
10 9 14 18 9
10 9 14 18 9
10 9 14 18 9
10 9 14 18 9
10 9 14 18 9
