N bic bdeu fnml qnml
10 7 8 10 10
10 7 8 10 11
10 7 8 10 11
10 7 8 10 11
10 7 8 10 8
10 7 8 10 8
10 7 8 10 9
10 7 8 10 9
10 7 8 10 9
10 7 8 10 9
10 7 8 10 9
10 7 8 10 9
10 7 8 11 10
10 7 8 11 10
10 7 8 11 10
10 7 8 11 10
10 7 8 11 11
10 7 8 11 11
10 7 8 11 11
10 7 8 11 12
10 7 8 11 6
10 7 8 11 9
10 7 8 11 9
10 7 8 11 9
10 7 8 12 10
10 7 8 12 10
10 7 8 12 11
10 7 8 12 12
10 7 8 12 8
10 7 8 5 9
10 7 8 6 9
10 7 8 6 9
10 7 8 7 7
10 7 8 7 7
10 7 8 7 7
10 7 8 7 7
10 7 8 7 7
10 7 8 7 7
10 7 8 7 7
10 7 8 7 8
10 7 8 7 8
10 7 8 7 8
10 7 8 8 10
10 7 8 8 7
10 7 8 8 7
10 7 8 8 7
10 7 8 8 7
10 7 8 8 8
10 7 8 8 8
10 7 8 8 8
10 7 8 8 8
10 7 8 8 8
10 7 8 8 8
10 7 8 8 8
10 7 8 8 8
10 7 8 8 8
10 7 8 8 8
10 7 8 8 8
10 7 8 8 8
10 7 8 8 8
10 7 8 8 8
10 7 8 8 9
10 7 8 8 9
10 7 8 8 9
10 7 8 8 9
10 7 8 8 9
10 7 8 8 9
10 7 8 8 9
10 7 8 8 9
10 7 8 8 9
10 7 8 9 10
10 7 8 9 10
10 7 8 9 10
10 7 8 9 10
10 7 8 9 10
10 7 8 9 10
10 7 8 9 6
10 7 8 9 7
10 7 8 9 7
10 7 8 9 7
10 7 8 9 8
10 7 8 9 8
10 7 8 9 8
10 7 8 9 8
10 7 8 9 8
10 7 8 9 8
10 7 8 9 9
10 7 8 9 9
10 7 8 9 9
10 7 8 9 9
10 7 8 9 9
10 7 8 9 9
10 7 8 9 9
10 7 8 9 9
10 7 8 9 9
10 7 8 9 9
10 7 8 9 9
10 7 8 9 9
10 7 8 9 9
10 7 8 9 9
10 7 9 10 10
10 7 9 10 10
10 7 9 10 10
10 7 9 10 10
10 7 9 10 10
10 7 9 10 10
10 7 9 10 10
10 7 9 10 10
10 7 9 10 10
10 7 9 10 11
10 7 9 10 11
10 7 9 10 9
