N bic bdeu fnml qnml
10 16 32 24 20
10 16 32 25 24
10 16 32 25 25
10 16 32 25 26
10 16 32 25 28
10 16 32 26 24
10 16 32 26 28
10 16 32 28 23
10 16 32 28 24
10 16 32 29 24
10 16 32 29 25
10 16 32 29 26
10 16 32 30 24
10 16 32 30 25
10 16 32 31 21
10 16 33 20 21
10 16 33 21 22
10 16 33 22 17
10 16 33 23 22
10 16 33 23 27
10 16 33 24 25
10 16 33 24 25
10 16 33 25 24
10 16 33 26 23
10 16 33 26 24
10 16 33 26 24
10 16 33 26 27
10 16 33 27 23
10 16 33 27 25
10 16 33 27 25
10 16 33 28 24
10 16 33 28 26
10 16 33 28 27
10 16 33 29 22
10 16 33 29 23
10 16 33 29 25
10 16 33 29 25
10 16 33 29 26
10 16 33 30 29
10 16 33 31 21
10 16 33 31 27
10 16 34 24 20
10 16 34 24 23
10 16 34 24 24
10 16 34 26 21
10 16 34 27 27
10 16 34 28 21
10 16 34 28 21
10 16 34 28 24
10 16 34 30 20
10 16 34 31 29
10 16 35 22 22
10 16 35 23 16
10 16 35 25 24
10 16 35 27 20
10 16 35 27 24
10 16 35 28 21
10 16 35 28 21
10 16 35 32 25
10 16 36 24 25
10 16 36 24 25
10 16 36 27 24
10 16 36 28 25
10 16 36 29 25
10 16 37 26 25
10 16 37 26 27
10 16 37 28 27
10 16 38 28 22
10 17 21 23 21
10 17 23 22 21
10 17 23 22 22
10 17 23 23 22
10 17 23 23 23
10 17 23 24 21
10 17 23 25 23
10 17 24 16 18
10 17 24 22 21
10 17 24 25 19
10 17 25 18 23
10 17 25 21 20
10 17 25 21 22
10 17 25 22 20
10 17 25 24 22
10 17 25 24 23
10 17 25 24 24
10 17 25 25 18
10 17 25 25 26
10 17 25 27 18
10 17 25 27 24
10 17 26 17 19
10 17 26 18 26
10 17 26 19 17
10 17 26 20 20
10 17 26 22 24
10 17 26 23 21
10 17 26 24 25
10 17 26 24 26
10 17 26 24 27
10 17 26 25 22
10 17 26 26 25
10 17 26 27 23
10 17 26 28 23
10 17 26 28 27
10 17 27 19 25
10 17 27 20 17
10 17 27 21 23
10 17 27 23 22
10 17 27 23 23
10 17 27 24 21
10 17 27 24 23
10 17 27 24 23
10 17 27 25 22
10 17 27 25 22
10 17 27 25 26
10 17 27 26 23
10 17 27 26 24
10 17 27 27 23
10 17 27 27 24
10 17 27 27 26
10 17 27 28 21
10 17 27 28 21
10 17 27 28 22
10 17 27 28 27
10 17 27 29 24
10 17 28 16 20
10 17 28 18 18
10 17 28 20 26
10 17 28 21 21
10 17 28 22 21
10 17 28 22 25
10 17 28 24 21
10 17 28 24 22
10 17 28 24 22
